yearmonth;client_type;tariff_type;system_zone;segment;tot_procured_volume;tot_delivery_volume;tot_hedged_volume;tot_open_volume;tot_generation_volume;tot_revenues;tot_hedged_cost;tot_open_cost;tot_generation_cost;tot_balancing_cost;tot_uplift_cost;tot_OPEX_cost;tot_total_cost;tot_margin;hpfc;unit_revenues;unit_hedged;unit_open_cost;unit_generation_cost;unit_balancing_cost;unit_uplift_cost;unit_OPEX_cost;unit_total_cost;unit_margin_cost;voltage;supply
2021-08;contracted;MCP_indexed;0;Agr-0-contracted-MCP_indexed;3768,04204572980007;3321,909588054129927;0;3768,04204572980007;0;366158,0463357060216;0;467111,8898210999905;0;7338,94020292986988;43054,2152548692029;0;517505,045278900012;-151346,9989431930007;121,7173655913980;97,1746179824775;0;123,9667403261760;0;1,94768001892305;11,4261504336612;0;137,3405707787610;-40,1659527962832001;LV;PPC
2021-08;contracted;MCP_indexed;0;PL-0-contracted-MCP_indexed;4047,95606793509978;3568,682066415490226;0;4047,95606793509978;0;517716,1480518970056;0;471869,4094604339916;0;7884,12315099552961;46252,5549810781013;0;526006,087592507014;-8289,9395406103795;121,7173655913980;127,8956933729740;0;116,5697951117190;0;1,94768001892306;11,4261504336612;0;129,9436255643030;-2,0479321913291302;LV;PPC
2021-08;contracted;MCP_indexed;0;Residential_OLD-0-contracted-MCP_indexed;70904,84759150899481;62509,783647632000793;0;70904,84759150899481;0;9601622,6414966993034;0;8808426,8549951501191;0;138099,95489876699867;810169,4550564000383;0;9756696,264950310811;-155073,6234536689881;121,7173655913970;135,4156022845260;0;124,2288384250050;0;1,94768001892305;11,4261504336612;0;137,6026688775890;-2,1870665930637898;LV;PPC
2021-08;contracted;MCP_indexed;0;SME_OLD-0-contracted-MCP_indexed;109985,72124125699338;96963,520445433503482;0;109985,72124125699338;0;15041039,1679848004133;0;13683552,8942504990846;0;214216,99162843599333;1256713,3964573200792;0;15154483,282336400822;-113444,1143516349985;121,7173655913990;136,7544713826250;0;124,4120849490570;0;1,94768001892305;11,4261504336612;0;137,7859154016420;-1,0314440190176299;LV;PPC
2021-08;contracted;MCP_indexed;1;Agr-1-contracted-MCP_indexed;381197,48090446501737;336064,075557139993180;0;381197,48090446501737;0;37042719,5827741026878;0;47503451,3268741965294;0;742450,71682142897043;4355619,7617471003905;0;52601521,805442698300;-15558802,2226685006171;121,7173655913980;97,1746179824775;0;124,6163831255210;0;1,94768001892306;11,4261504336612;0;137,9902135781050;-40,8155955956273999;LV;PPC
2021-08;contracted;MCP_indexed;1;PL-1-contracted-MCP_indexed;54556,44633541929943;48097,016957964697212;0;54556,44633541929943;0;6977534,5320339100435;0;6359501,7301052799448;0;106258,50043094399734;623370,1629544659518;0;7089130,393490689807;-111595,8614567790064;121,7173655913980;127,8956933729740;0;116,5673748434120;0;1,94768001892306;11,4261504336612;0;129,9412052959960;-2,0455119230214400;LV;PPC
2021-08;contracted;MCP_indexed;1;Residential_OLD-1-contracted-MCP_indexed;1066067,02827177010477;939845,744751635007560;0;1066067,02827177010477;0;143642961,6803390085697;0;132777929,7480030059814;0;2076357,44979762006551;12181042,2373994998634;0;147035329,435200005770;-3392367,7548604500480;121,7173655913970;134,7410227227480;0;124,5493259117600;0;1,94768001892306;11,4261504336613;0;137,9231563643450;-3,1821336415965300;LV;PPC
2021-08;contracted;MCP_indexed;1;SME_OLD-1-contracted-MCP_indexed;629455,26199768704828;554928,380496946047060;0;629455,26199768704828;0;86886077,7614746987820;0;78493274,1804551929235;0;1225977,43659886997193;7192250,5148451803252;0;86911502,131898596883;-25424,3704243665998;121,7173655913990;138,0337619002920;0;124,7003225159210;0;1,94768001892306;11,4261504336612;0;138,0741529685040;-0,0403910682129782;LV;PPC
2021-08;contracted;MCP_indexed;3;Agr-3-contracted-MCP_indexed;25188,69952984470001;22206,382376659399597;0;25188,69952984470001;0;2447702,2542880699039;0;3136276,1312757600099;0;49059,52677693509759;287809,8700562969898;0;3473145,528109000064;-1025443,2738209200324;121,7173655913980;97,1746179824775;0;124,5112367774190;0;1,94768001892305;11,4261504336612;0;137,8850672300040;-40,7104492475258013;LV;PPC
2021-08;contracted;MCP_indexed;3;PL-3-contracted-MCP_indexed;3258,21962110077993;2872,449635106050209;0;3258,21962110077993;0;416712,2576021139976;0;379733,0830727500143;0;6345,96925328106045;37228,9075366042016;0;423307,959862635005;-6595,7022605208704;121,7173655913980;127,8956933729740;0;116,5461900154100;0;1,94768001892306;11,4261504336612;0;129,9200204679950;-2,0243270950202299;LV;PPC
