yearmonth;client_type;tariff_type;system_zone;segment;tot_procured_volume;tot_delivery_volume;tot_hedged_volume;tot_open_volume;tot_generation_volume;tot_revenues;tot_hedged_cost;tot_open_cost;tot_generation_cost;tot_balancing_cost;tot_uplift_cost;tot_OPEX_cost;tot_total_cost;tot_margin;hpfc;unit_revenues;unit_hedged;unit_open_cost;unit_generation_cost;unit_balancing_cost;unit_uplift_cost;unit_OPEX_cost;unit_total_cost;unit_margin_cost;voltage;supply
2022-01;contracted;fixed;1;non_strategical;7440,000;7440,000;0,000;7440;0,00;1488000,00000000;0,00000000;1527766,243854860;0,0000000;14490,7393407874;85010,5592264383;0;1627267,542422090;-139267,5424220900;205,344925249310;200,0000000000000;0,000000000000;205,344925249310;0,0000000000000;1,94768001892303;11,4261504336611;0;218,718755701894;-18,71875570189380;HV;PPC
2022-01;contracted;uplift_indexed;1;non_strategical;15867,212;15867,212;15867,212;0;0,00;2115650,05455479;1825533,87551995;0,000000000;0,0000000;30904,2517684160;181301,1512747940;0;2037739,278563160;77910,7759916268;205,344925249310;133,3347064723650;115,050701756550;0,000000000000;0,0000000000000;1,94768001892305;11,4261504336612;0;128,424532209134;4,91017426323079;HV;PPC
2022-01;expected;fixed;1;strategical;391581,450;391581,450;0,000;0;391581,45;38766563,55000000;0,00000000;0,000000000;38766563,5500000;762675,3659459170;4474268,5547311902;0;44003507,470677100;-5236943,9206770901;205,344925249310;98,9999999999999;0,000000000000;0,000000000000;98,9999999999999;1,94768001892305;11,4261504336612;0;112,373830452584;-13,37383045258420;HV;PPC
2022-02;contracted;fixed;1;non_strategical;6720,000;6720,000;0,000;6720;0,00;1344000,00000000;0,00000000;1347936,980683130;0,0000000;13088,4097271628;76783,7309142024;0;1437809,121324500;-93809,1213244974;200,585860220704;200,0000000000000;0,000000000000;200,585860220704;0,0000000000000;1,94768001892304;11,4261504336611;0;213,959690673288;-13,95969067328830;HV;PPC
2022-02;contracted;uplift_indexed;1;non_strategical;21375,997;21375,997;21375,997;0;0,00;2879053,26382148;2487950,38836996;0,000000000;0,0000000;41633,6022414592;244245,3573914910;0;2773829,348002900;105223,9158185880;200,585860220704;134,6862681455970;116,389911000172;0,000000000000;0,0000000000000;1,94768001892305;11,4261504336612;0;129,763741452756;4,92252669284093;HV;PPC
2022-02;expected;fixed;1;strategical;372808,670;372808,670;0,000;0;372808,67;36908058,33000000;0,00000000;0,000000000;36908058,3300000;726111,9974402790;4259767,9463931601;0;41893938,273833402;-4985879,9438334303;200,585860220704;99,0000000000000;0,000000000000;0,000000000000;99,0000000000000;1,94768001892305;11,4261504336612;0;112,373830452584;-13,37383045258430;HV;PPC
2022-03;contracted;fixed;1;non_strategical;7430,000;7430,000;0,000;7430;0,00;1486000,00000000;0,00000000;1416007,952909650;0,0000000;14471,2625405981;84896,2977221017;0;1515375,513172350;-29375,5131723482;190,579805236830;200,0000000000000;0,000000000000;190,579805236830;0,0000000000000;1,94768001892303;11,4261504336611;0;203,953635689414;-3,95363568941430;HV;PPC
2022-03;contracted;uplift_indexed;1;non_strategical;24368,782;24368,782;24368,782;0;0,00;3283587,83529709;2837714,66711995;0,000000000;0,0000000;47462,5897868917;278441,3690170950;0;3163618,625923930;119969,2093731620;190,579805236830;134,7456690817410;116,448769048857;0,000000000000;0,0000000000000;1,94768001892305;11,4261504336612;0;129,822599501441;4,92306958029998;HV;PPC
2022-03;expected;fixed;1;strategical;405709,950;405709,950;0,000;0;405709,95;40165285,05000000;0,00000000;0,000000000;40165285,0500000;790193,1630932720;4635702,9211331597;0;45591181,134226397;-5425896,0842264304;190,579805236830;98,9999999999999;0,000000000000;0,000000000000;98,9999999999999;1,94768001892306;11,4261504336612;0;112,373830452584;-13,37383045258420;HV;PPC
2022-04;contracted;fixed;1;non_strategical;7200,000;7200,000;0,000;7200;0,00;1440000,00000000;0,00000000;750277,574625949;0,0000000;14023,2961362458;82268,2831223597;0;846569,153884555;593430,8461154440;104,205218698048;200,0000000000000;0,000000000000;104,205218698049;0,0000000000000;1,94768001892303;11,4261504336611;0;117,579049150633;82,42095084936730;HV;PPC
2022-04;contracted;uplift_indexed;1;non_strategical;24121,648;24121,648;24121,648;0;0,00;3253086,70847582;2811709,74427995;0,000000000;0,0000000;46981,2518330955;275617,5787558230;0;3134308,574868870;118778,1336069560;104,205218698048;134,8617104633900;116,563749884749;0,000000000000;0,0000000000000;1,94768001892306;11,4261504336612;0;129,937580337333;4,92413012605757;HV;PPC
2022-04;expected;fixed;1;strategical;362061,180;362061,180;0,000;0;362061,18;35844056,82000000;0,00000000;0,000000000;35844056,8200000;705179,3259137040;4136965,5088688899;0;40686201,654782601;-4842144,8347825902;104,205218698048;98,9999999999998;0,000000000000;0,000000000000;98,9999999999998;1,94768001892306;11,4261504336612;0;112,373830452584;-13,37383045258420;HV;PPC
